ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0032835,glomerulus development,8/266,73/21468,0.1095890410958904,8.844577196415697,7.519914576022248,3.351753016957408e-6,8.848627964767558e-4,7.854969510553774e-4,FOXC2/PODXL/SULF1/PDGFD/NPHS1/NID1/OSR1/ACTA2,8
GO:0003018,vascular process in circulatory system,15/266,303/21468,0.04950495049504951,3.9953845008561006,5.881699569783934,6.275839979629583e-6,0.0015187532750703591,0.0013482045710625306,FOXC2/KCNMA1/SOD3/NPR1/AGTR1/NOS1/SLC38A5/CALCA/CRP/MMP2/SLC1A5/COMP/GJA5/ACTA2/SLC16A12,15
GO:0072006,nephron development,11/266,169/21468,0.0650887573964497,5.253103172131512,6.217384768393215,8.833872812823396e-6,0.0019590289023652292,0.0017390393583777172,FOXC2/WNT7B/DCHS2/NPNT/PODXL/SULF1/PDGFD/NPHS1/NID1/OSR1/ACTA2,11
GO:0030278,regulation of ossification,10/266,139/21468,0.07194244604316546,5.8062422242656995,6.367455066030103,9.444354212504549e-6,0.0019590289023652292,0.0017390393583777172,PKDCC/FBN2/BGLAP/CALCA/LTF/KL/ADGRV1/COMP/AHSG/OSR1,10
GO:0003012,muscle system process,19/266,489/21468,0.03885480572597137,3.135845749342682,5.351431913157664,1.2389586541423257e-5,0.0023986239544195424,0.002129269995785653,STC1/KCNMA1/ATP8A2/MYH13/CHRNB2/SMPX/NOS1/SSTR2/CALCA/LMOD1/NMU/NPNT/SULF1/COMP/GJA5/STAC/ACTA2/NMUR1/TRDN,19
GO:0070167,regulation of biomineral tissue development,9/266,118/21468,0.07627118644067797,6.155600866573213,6.290127278971118,1.6580112431863052e-5,0.0030092904063831437,0.002671361535896882,PKDCC/FBN2/BGLAP/LTF/KL/ADGRV1/COMP/AHSG/OSR1,9
GO:0001822,kidney development,15/266,342/21468,0.043859649122807015,3.5397704788286504,5.3031873188849765,2.617581318784137e-5,0.004471444793970079,0.003969323002911673,FOXC2/WNT7B/ITGA8/TRAF3IP2/AGTR1/DCHS2/NPNT/PODXL/SULF1/PDGFD/ASS1/NPHS1/NID1/OSR1/ACTA2,15
GO:0061448,connective tissue development,14/266,305/21468,0.04590163934426229,3.704572907679034,5.328415443643254,2.9632702797940026e-5,0.004780742718067658,0.004243888254511996,FOXC2/STC1/MMP13/WNT7B/PKDCC/CCN4/ADAMTS12/ZNF219/SULF1/OGN/COMP/PDGFD/OSR1/ACTA2,14
GO:0072001,renal system development,15/266,352/21468,0.04261363636363636,3.439208817498291,5.1683577519248765,3.646068591412275e-5,0.0055727279944532875,0.0049469373852457955,FOXC2/WNT7B/ITGA8/TRAF3IP2/AGTR1/DCHS2/NPNT/PODXL/SULF1/PDGFD/ASS1/NPHS1/NID1/OSR1/ACTA2,15
GO:0007588,excretion,5/266,32/21468,0.15625,12.610432330827068,7.3618944742227495,4.307346222169999e-5,0.0062542667145908375,0.005551942577944382,STC1/KCNMA1/NPR1/AGTR1/CHRNB2,5
GO:0031214,biomineral tissue development,11/266,202/21468,0.054455445544554455,4.3949229509417105,5.430011927774881,4.640395043746964e-5,0.006361099413014282,0.005646778477045084,MMP13/PKDCC/FBN2/BGLAP/LTF/KL/ADGRV1/COMP/AHSG/OSR1/ROR2,11
GO:0030501,positive regulation of bone mineralization,6/266,53/21468,0.11320754716981132,9.136615122712442,6.642946431801928,4.819014706829001e-5,0.006361099413014282,0.005646778477045084,PKDCC/FBN2/LTF/KL/ADGRV1/OSR1,6
GO:0002052,positive regulation of neuroblast proliferation,5/266,38/21468,0.13157894736842105,10.619311436485951,6.647567867750194,1.0104646197881604e-4,0.01275821415593399,0.011325527935291554,HAPLN1/ACAN/VCAN/CX3CR1/VEGFC,5
GO:0051216,cartilage development,11/266,222/21468,0.04954954954954955,3.9989839463523675,5.030951388754206,1.0823713005799434e-4,0.013096692737017315,0.011625996996141585,STC1/MMP13/WNT7B/PKDCC/CCN4/ADAMTS12/ZNF219/SULF1/OGN/COMP/OSR1,11
GO:0070169,positive regulation of biomineral tissue development,6/266,63/21468,0.09523809523809523,7.686358754027927,5.9530621251904545,1.2862017842511423e-4,0.014940519925861269,0.01326277124055178,PKDCC/FBN2/LTF/KL/ADGRV1/OSR1,6
GO:0045778,positive regulation of ossification,6/266,64/21468,0.09375,7.566259398496241,5.89248699442054,1.404680735324172e-4,0.015206315695794644,0.01349871942112552,PKDCC/FBN2/LTF/KL/ADGRV1/OSR1,6
GO:0098801,regulation of renal system process,4/266,22/21468,0.18181818181818182,14.673957621326043,7.1873782414623335,1.4138103436172705e-4,0.015206315695794644,0.01349871942112552,STC1/NPR1/AGTR1/GJA5,4
GO:0007498,mesoderm development,9/266,157/21468,0.05732484076433121,4.626502562137829,5.108271618848539,1.5434354153665507e-4,0.01600763016508737,0.014210050121175499,FOXC2/INHBA/TSPY1/TSPY1/HES7/ITGA8/TSPY1/TIE1/OSR1,9
