gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log2FoldChange_shrunk,symbol
13819,8375.292257563464,-3.0078576761878995,0.12676971273055757,-23.726942432858113,1.901193558969195e-124,3.5369881786964276e-122,-2.9997165249849354,Epas1
56209,3623.7683843617797,2.883715185669418,0.12202235289924872,23.63267972754501,1.7788845147931992e-123,3.2763494993461142e-121,2.875397057966531,Gde1
26360,1595.7784839814324,-6.730163732950168,0.2868424023034785,-23.462931836101667,9.754948441986442e-122,1.7788776277673892e-119,-6.704930600827603,Angptl2
83603,388.90701307653757,-6.880325104579281,0.293892948436893,-23.410990774610838,3.302693841381669e-121,5.963628938290939e-119,-6.855921659890934,Elovl4
93960,775.4258023778808,-7.112956492721613,0.30419831156667815,-23.3826297591481,6.4205483995374275e-121,1.1480937905114597e-118,-7.087287463591749,Nkd1
16852,3255.1644557045893,-5.470143054539725,0.23440261717876973,-23.336527212782187,1.8885718861253214e-120,3.3445881729477085e-118,-5.450390558399782,Lgals1
30791,2899.944204977228,-1.4475479653308276,0.06203100698509273,-23.335877260201528,1.9174882046808196e-120,3.363456928934413e-118,-1.4446760040419477,Slc39a1
65945,7981.6559066180225,-1.8874414964769488,0.08089161990201892,-23.332966984257926,2.0524823776810928e-120,3.5662849464273933e-118,-1.88163329748847,Clstn1
319909,920.3592069690112,-5.708924377628004,0.24532925996959792,-23.27045855979623,8.83106931243734e-120,1.5200993887520647e-117,-5.692164382949609,Ism1
56693,521.5970713896287,-2.517956607766972,0.1084540329421002,-23.216809365781916,3.08019498289002e-119,5.25287325878411e-117,-2.5107937394241535,Crtap
64082,458.4891306458914,-7.357196560136878,0.3171618763767336,-23.196976396361705,4.884690707904299e-119,8.253782886071687e-117,-7.330467079811291,Popdc2
99929,5331.353462880664,-2.2906671312922713,0.09938879784804014,-23.047538363373427,1.5569354963017957e-117,2.6068761791714977e-115,-2.2848986817237025,Tiparp
546546,3080.788017216961,-5.8634445274967755,0.2545139042104876,-23.037816129085037,1.9487070844663765e-117,3.2334492866397946e-115,-5.841313827499546,Serpina3h
12764,632.0265931489567,2.259423095832215,0.09849561874150592,22.939325877650404,1.8832507799945044e-116,3.0969386487445344e-114,2.252988613216526,Cmas
330409,184.74675747466017,4.808995353804614,0.2105143422681744,22.844027166939682,1.6754954007719287e-115,2.730909229328972e-113,4.790455919782431,Cecr2
214855,6333.066382188601,-2.034508494891686,0.08907157603662767,-22.84127648145648,1.7843635474592366e-115,2.882842790974054e-113,-2.0272395595874593,Arid5a
17242,669.8830800351662,-4.871612873499628,0.2138312592773122,-22.78251033064235,6.835948811414975e-115,1.0948217844229654e-112,-4.853869095253386,Mdk
12831,1175.478132989334,-5.265047791949347,0.23164016579744734,-22.729425071096056,2.293182334939552e-114,3.641020021113506e-112,-5.251818050602439,Col5a1
15904,1018.4180606226322,-6.415288356975196,0.28569132478733045,-22.45531383128542,1.1355233158507566e-111,1.7875272163537805e-109,-6.38885225510452,Id4
19731,502.4600406580004,-4.105067738696127,0.1829844995504373,-22.433964345513424,1.835326850565215e-111,2.8646652486195027e-109,-4.090278137206868,Rgl1
19766,4392.828563236594,-1.8308367381373796,0.08241667882868807,-22.214395971269003,2.4931146479027915e-109,3.858671057569212e-107,-1.8252788754628142,Ripk1
58809,2013.4725142403656,-6.328492502417554,0.2852458244965635,-22.186100405104426,4.678468549508437e-109,7.180669478737198e-107,-6.300619202630948,Rnase4
70155,2521.8524912892194,3.5307746087058574,0.15939978253983017,22.15043554293182,1.0331540375046965e-108,1.572614137418306e-106,3.519432704825733,Ogfrl1
207792,228.0054196232846,-4.437897604212112,0.20060085658891094,-22.12302419678419,1.8977085504535657e-108,2.864917711660145e-106,-4.421345122157818,BC034090
16453,531.2176150112178,2.572497774757388,0.116297046091749,22.12006118132953,2.0265341238517235e-108,3.0345289018781337e-106,2.5642548854939946,Jak3
109594,334.40185600855585,-5.691637164242604,0.2577569488881031,-22.081411146410822,4.7696024337375165e-108,7.08439819553045e-106,-5.675340413939278,Lmo1
72097,450.8298810947127,5.4544206638717,0.2478007755375338,22.01131393572064,2.2439393717307066e-107,3.3063100278828923e-105,5.434087673846268,Cracdl
65256,738.2601537241121,-8.623534532494102,0.39192349124624465,-22.003107047941544,2.6891228705328696e-107,3.9308146848789195e-105,-8.59026441436073,Asb2
20510,450.2419644581135,4.674122450108,0.2125928292040116,21.986265800256824,3.897734920194384e-107,5.652636359066154e-105,4.657370678651866,Slc1a1
22033,285.8932776235924,-4.86687510575248,0.22212053829403594,-21.910963943864882,2.042140816145749e-106,2.938449183732219e-104,-4.847475100145843,Traf5
